,hB
568,-168
569,-166.2
570,-165
571,-163.3
572,-161.4
573,-159.6
574,-156.6
575,-153
576,-152.7
577,-152.2
578,-149.8
579,-148.2
580,-148.1
581,-148
582,-147.1
583,-147.6
584,-151.1
585,-154.7
586,-158.3
587,-153.9
588,-152.7
589,-152.1
590,-163.1
591,-181.3
592,-203.6
593,-237.9
594,-216.7
595,-197.7
596,-184.3
597,-177.3
598,-172.9
599,-169.2
600,-166.4
601,-162.7
602,-158.9
603,-155
604,-152.3
605,-151.6
606,-150.2
607,-147.4
608,-147.1
609,-145.5
610,-144.6
611,-144.8
612,-145.6
613,-144.7
614,-144
615,-144.9
616,-146.6
617,-145.6
618,-143
619,-140.1
620,-141.2
621,-148.4
622,-142.4
623,-141.5
624,-143
625,-140.5
626,-141.3
627,-138.8
628,-136.9
629,-135.1
630,-134.6
631,-131.7
632,-129.5
633,-128.5
634,-127.8
635,-128.2
636,-125.3
637,-126.1
638,-126.8
639,-135
640,-128
641,-127.9
642,-128.6
643,-128.2
644,-142.4
645,-139.6
646,-135.9
647,-132.7
648,-131.4
649,-133.6
650,-129.4
651,-129.2
652,-132.7
653,-134.6
654,-132.4
655,-133.2
656,-132.3
657,-136.9
658,-136.7
659,-139
660,-145
661,-140.7
662,-137.2
663,-135
664,-134.1
665,-130.5
666,-129.2
667,-129.4
668,-140.3
669,-138.1
670,-130.2
671,-133
672,-129.5
673,-123.7
674,-125.7
675,-123.3
676,-121.1
677,-125
678,-125.7
679,-123.1
680,-122
681,-119.2
682,-116.5
683,-116.8
684,-116.2
685,-115.7
686,-113
687,-113
688,-112.4
689,-109.1
690,-108.7
691,-113.5
692,-112.4
693,-107.2
694,-103.6
695,-103.6
696,-104.1
697,-106.6
698,-103.8
699,-100.5
700,-100.1
701,-98.6
702,-94.9
703,-95
704,-96
705,-91.1
706,-92.7
707,-96.6
708,-97.2
709,-94.3
710,-92.3
711,-90.9
712,-89.3
713,-91.9
714,-92.3
715,-89.6
716,-87.1
717,-88.8
718,-88.6
719,-88.5
720,-86.3
721,-84.8
722,-83.3
723,-81.7
724,-82.4
725,-82.6
726,-81.3
727,-78.6
728,-77.5
729,-82.7
